"","txtChar","Freq"
"1","ANKRD13A",1
"2","AURKAIP1",1
"3","CDC42EP2",1
"4","CEACAM18,SIGLEC12",1
"5","DUSP8",1
"6","GBX2",1
"7","HJURP",1
"8","HTATIP2",1
"9","LINC00896",1
"10","LOC101060389,TBC1D3H,TBC1D3I,TBC1D3L",1
"11","LOC101929124",1
"12","LOC400661",1
"13","MTAP",1
"14","MX1",1
"15","PARD6B",1
"16","PCDHB5",1
"17","RICTOR",1
"18","RNF144B",1
"19","RPL21P44",1
"20","SEC62",1
"21","SLC25A23",1
"22","SPIRE2",1
"23","USP17L24,USP17L25,USP17L26,USP17L27,USP17L28,USP17L29,USP17L30,USP17L5",1
"24","XCR1",1
"25","ZBTB3",1
"26","ZKSCAN5",1
