"","V1","V2","V3","V4","V5","V6"
"TMEM173",1,0,0,0,0,0
"GOLM1",0,1,0,0,0,0
"CRX",0,0,0,2,0,0
"ALPK1",1,0,0,0,0,0
"LOC101928279",1,0,0,0,0,0
"CELF3.SNX27",1,0,0,0,0,0
"RARG",1,0,0,0,0,0
"SDHB",1,0,0,0,0,0
"RFNG",0,0,0,0,0,1
"FKBP1B",1,0,0,0,0,0
"TMEM189.UBE2V1.UBE2V1",1,0,0,0,0,0
"CCDC63",0,1,0,0,0,0
"LOC100996325",1,0,0,0,0,0
"ALOX15P1",1,0,0,0,0,0
"LINC01057",1,0,0,0,0,0
"PTPN13",1,0,0,0,0,0
"MLYCD",1,0,0,0,0,0
"ZNF629",1,0,0,0,0,0
"BIRC3",1,0,0,0,0,0
"SUZ12",1,0,0,0,0,0
"LOC101927575",1,0,0,0,0,0
"TCEAL4",0,0,1,0,0,0
"TSPAN3",1,0,0,0,0,0
"FAM90A7P",1,0,0,0,0,0
"ZNF865",0,0,1,0,0,0
"SDR42E1",1,0,0,0,0,0
"TBC1D3H",1,0,0,0,0,0
"GJD3",0,0,0,0,0,1
"TTC27",1,0,0,0,0,0
"PIGZ",1,0,0,0,0,0
"NDUFS5",0,0,0,0,0,1
"KIAA0907",0,0,0,2,0,0
"TRIM11",1,0,0,0,0,0
"IL6R",1,0,0,0,0,0
"SSX2IP",1,0,0,0,0,0
"LINC00353",0,1,0,0,0,0
"CFD",1,0,0,0,0,0
"TTC34",0,1,0,0,0,0
"SHH",0,0,0,2,0,0
"ARMC5",1,0,0,0,0,0
"ARHGAP22",0,0,0,0,1,0
"HGFAC",0,0,1,0,0,0
"TEKT4P2",1,0,0,0,0,0
"ZNF691",0,0,0,2,0,0
"ZNF275",1,0,0,0,0,0
"CASP10",1,0,0,0,0,0
"SLC28A3",1,0,0,0,0,0
"SERPINI1",0,0,0,0,0,1
"PTPN5",1,0,0,0,0,0
"TRIM71",0,0,1,0,0,0
"PWRN4",1,0,0,0,0,0
"MIR6724.1.MIR6724.2.MIR6724.3.MIR6724.4",1,0,0,0,0,0
"MCHR2.AS1",1,0,0,0,0,0
"DCLK2",1,0,0,0,0,0
"COX6A1",1,0,0,0,0,0
"MAU2",1,0,0,0,0,0
"PACS1",0,0,0,0,0,1
"GOLGA6L2",0,0,0,2,0,0
"ZNF414",1,0,0,0,0,0
"FAM81A",1,0,0,0,0,0
"WFS1",0,0,0,0,0,1
"NRSN1",0,0,0,0,0,1
"LINC00176",1,0,0,0,0,0
"OR5M1",1,0,0,0,0,0
"PPIL6",1,0,0,0,0,0
"GDPD4.MYO7A",1,0,0,0,0,0
"FCGR2B",1,0,0,0,0,0
"TRAF6",1,0,0,0,0,0
"LINC01456",1,0,0,0,0,0
"IRAK3",1,0,0,0,0,0
"NEU2",1,0,0,0,0,0
"LCAT",1,0,0,0,0,0
"CDK18",1,0,0,0,0,0
"SNORD115.17.SNORD115.18.SNORD115.19",0,0,1,0,0,0
"RNFT1",0,1,0,0,0,0
"UHRF1",1,0,0,0,0,0
"KIAA1755",1,0,0,0,0,0
"MYLK2",0,1,0,0,0,0
"SCN4B",1,0,0,0,0,0
"PCGF5",1,0,0,0,0,0
"PIAS4",0,0,1,0,0,0
"TMEM186",1,0,0,0,0,0
"LINC00112",1,0,0,0,0,0
"OR11H4",1,0,0,0,0,0
"HIST1H2BG",0,0,1,0,0,0
"FAM197Y2P.FAM197Y5P",1,0,0,0,0,0
"LOC100507412",0,0,0,0,0,1
"MIR1193.MIR494",0,0,0,2,0,0
"UQCRHL",0,0,0,0,0,1
"LOC143666",0,0,1,0,0,0
"GGT6",0,0,0,2,0,0
"DMRT2",1,0,0,0,0,0
"MT1X",1,0,0,0,0,0
"ZNF850",0,0,0,0,1,0
"SLC44A2",1,0,0,0,0,0
"NDUFA10",1,0,0,0,0,0
