"","V1","V2","V3","V4","V5","V6"
"AQP8",0,0,0,0,0,1
"PLEKHM1P1",0,0,0,0,0,2
"PTPRA",0,0,0,0,0,1
"GABRR2",0,0,0,0,0,1
"MYOD1",0,0,0,0,1,0
"RFWD3",0,0,0,0,0,1
"LINC01517",0,0,0,0,0,1
"D2HGDH",0,0,0,0,0,1
"TBP",0,0,0,0,0,1
"FAM89A",0,0,0,0,0,1
"LOC101929116",0,0,0,0,0,1
"FAM89B",0,0,0,0,0,1
"PTPRJ",0,0,0,0,0,1
"NEDD4L",0,0,0,0,0,1
"ARID5A",0,0,0,0,0,1
"OR10K1",0,0,0,0,0,1
"SLC9A2",0,0,0,0,0,1
"MIR378C",0,0,0,0,0,1
"EXOC4",0,0,0,0,0,1
"AKR1B1",0,0,0,0,0,1
"GLG1",0,0,0,0,0,1
"DYNC1I1",0,0,0,0,0,1
"TAF1A.AS1",0,0,0,0,0,1
"C22orf42",0,0,0,0,0,1
"C1QB",0,0,0,0,0,1
"UTP4",0,0,0,0,0,1
"GOLGA6L4",0,0,0,0,0,1
"C2CD5",0,0,0,0,0,1
"SMAD9",0,0,0,0,0,1
"SFXN2",0,0,0,1,0,0
"MPHOSPH10",0,0,0,0,0,1
"PCDH19",0,0,0,0,1,0
"LOC643802",0,0,0,0,0,1
"IZUMO4",0,0,0,0,0,1
"LOC101929705",0,0,0,0,0,1
"SNORD115.11.SNORD115.29.SNORD115.36.SNORD115.43",0,0,0,0,0,1
"PRPF38A",0,0,0,0,0,1
"ZNF423",0,0,0,0,0,1
"LDLRAD1",0,0,0,0,0,1
"IFI27L2",0,0,0,0,0,1
"NLRP12",0,0,0,0,0,1
"ALPK2",0,0,0,0,1,0
"CD84",0,0,0,0,0,1
"ABLIM1",0,0,0,0,1,0
"DTYMK",0,0,0,0,0,1
"ZNF806",0,0,0,0,0,1
"UPK3B",0,0,0,0,0,1
"OR4A47",0,0,0,0,0,1
"APCS",0,0,0,0,0,1
"OR9Q1",0,0,0,0,0,1
"TSKU",0,0,0,0,0,1
"HES2",0,0,0,0,0,1
"COA6",0,0,0,0,0,1
"RBBP8NL",0,0,0,0,0,1
"GPX4.SBNO2",0,0,0,0,0,1
"TMEM187",0,0,0,0,1,0
"RNA45S5",0,0,0,0,0,1
"NEU1",0,0,0,0,0,1
"SESN1",0,0,0,0,0,1
"EIF4EBP2",0,0,0,0,0,1
"PLA2G1B",0,0,0,0,0,1
"RAB9B",0,0,0,0,0,1
"ZNF814",0,0,0,0,0,1
"TTYH1",0,0,0,0,0,1
"BAALC.AS2",0,0,0,0,0,1
"SNORD116.5.SNORD116.7",0,0,0,0,0,1
"APOBEC3D",0,0,0,0,1,0
"ACAD8",0,0,0,0,0,1
"CCDC184",0,0,0,1,0,0
"LRRC47",0,0,0,0,0,1
"ZNF445",0,0,0,0,0,1
"FBXO5",0,0,0,0,0,1
"CLEC11A",0,0,0,0,0,1
"LOC100507412",0,0,0,2,0,12
"FAM106B",0,0,0,0,0,1
"C9orf62",0,0,0,0,0,1
"MIR4733",0,0,0,0,0,1
"KCNK3",0,0,0,0,0,1
"PGAP2.RHOG",0,0,0,0,0,1
"OR6W1P",0,0,0,0,0,1
"LINC00200",0,0,0,0,0,1
"PDE6A",0,0,0,0,0,1
"OR4F5",0,0,0,0,0,1
"MED12",0,0,0,0,0,1
"ACR",0,0,0,0,0,1
"LOC100131303",0,0,0,0,0,1
"SCD5",0,0,0,0,0,1
"GUSBP11",0,0,0,0,0,1
"KRTAP20.1",0,0,0,1,0,0
"MCFD2",0,0,0,0,0,1
"TCP10",0,0,0,0,0,1
"NKPD1",0,0,0,1,0,0
"HIGD1A",0,0,0,0,0,1
"PLEKHD1",0,0,0,0,0,1
"RQCD1",0,0,0,0,0,1
"MIR7641.2",0,0,0,0,0,2
"SH3RF2",0,0,0,0,0,1
"MCAT",0,0,0,0,0,1
"EIF3C.EIF3CL",0,0,0,0,0,1
"RAP2A",0,0,0,0,0,1
"DSTN",0,0,0,0,0,1
"TMEM67",0,0,0,0,0,1
"RNASE3",0,0,0,0,0,1
"DDAH1",0,0,0,0,0,1
"CLTA",0,0,0,0,0,1
