"","Word","freq"
"1","AACS,TMEM132B",1
"2","ACAT1",1
"3","ADCY8,EFR3A",1
"4","ADGRL3-AS1,TECRL",1
"5","ADGRL4,LOC101927412",1
"6","AGTPBP1",1
"7","AKT3",1
"8","AMMECR1",1
"9","AMPH",1
"10","AQP7P3,MIR1299",1
"11","ARHGAP20,C11orf53",1
"12","ARL17A,ARL17B",1
"13","ASH1L",1
"14","ASTN1",1
"15","ATP6V0A2",1
"16","B3GNT3",1
"17","B4GALNT2,GNGT2",1
"18","BBX,LINC00635",1
"19","BTNL10,RNA5S2",1
"20","C10orf90,DOCK1",1
"21","C15orf38-AP3S2,ZNF710",1
"22","C19orf81",2
"23","C21orf33,ICOSLG",1
"24","C3orf58,PLOD2",1
"25","C3orf67,FHIT",1
"26","C5orf38,LINC01377",1
"27","C5orf67,MAP3K1",1
"28","CACNA2D2",1
"29","CADM2",1
"30","CAMTA1",1
"31","CCBE1",1
"32","CCDC102B",1
"33","CCL15-CCL14,CCL23",1
"34","CDH8,CDH11",1
"35","CENPBD1P1,NONE",1
"36","CEP89",1
"37","CFAP45",1
"38","CLIP1",1
"39","COG6,LINC00332",1
"40","COL18A1",1
"41","CPPED1",1
"42","CPS1,ERBB4",1
"43","CROCC",1
"44","CRTC3",1
"45","CRY1,BTBD11",1
"46","CSRP3",1
"47","CUL3,DOCK10",1
"48","CWH43,NONE",1
"49","CYP4F22",1
"50","DACH2",1
"51","DCDC2C",1
"52","DDX11L16,NONE",1
"53","DEPDC1-AS1,LRRC7",1
"54","DGKI",1
"55","DHCR24,TMEM61",1
"56","DIAPH2",1
"57","DLGAP4-AS1",1
"58","DNAJA4",1
"59","DOCK8",1
"60","DUSP26,LINC01288",1
"61","EFCAB6",1
"62","EGR2,NRBF2",1
"63","ELF4,AIFM1",1
"64","ELP3,PNOC",1
"65","ERAP1",1
"66","ERBB4",1
"67","ERC2",1
"68","EYA1",1
"69","EYS",1
"70","FAM172A,KIAA0825",1
"71","FAM189A2",1
"72","FAM27L,FLJ36000",1
"73","FANK1",1
"74","FAXDC2,CNOT8",1
"75","FECH,NARS",1
