"","txtChar","Freq"
"1","ABCE1",1
"2","ABR,TIMM22",1
"3","ACAD8",1
"4","ACY3",1
"5","ADAM19",1
"6","ADAM30",1
"7","ADAMTS18",1
"8","ADAP2",1
"9","ADI1",1
"10","ADIPOR1",1
"11","ADSSL1",1
"12","AFMID",1
"13","AGBL4",1
"14","AJAP1",1
"15","AK8",1
"16","ALAS2,APEX2",1
"17","ALMS1",1
"18","AMIGO2",1
"19","AMY2B",1
"20","ANKRD29",1
"21","ANKRD30B",1
"22","ANKS1A",1
"23","ANP32AP1",1
"24","AP5S1",1
"25","APOBEC3C",1
"26","APOC1",1
"27","ARHGAP24",1
"28","ARMC12",1
"29","ARSB",1
"30","ART3",1
"31","AS3MT,BORCS7-ASMT",1
"32","ASCL1",1
"33","ATP1B4",1
"34","ATP6V1E2",1
"35","ATRN",1
"36","BCL7C",1
"37","BCORL1",1
"38","BCRP2",1
"39","BLOC1S1-RDH5,CD63,RDH5",1
"40","BTG2",1
"41","C14orf132",1
"42","C14orf2",1
"43","C17orf96",1
"44","C1orf94",1
"45","C1RL",1
"46","C21orf140",1
"47","C6orf141",1
"48","C6orf52",1
"49","C7orf50",1
"50","C7orf76",1
"51","C9orf72",1
"52","C9orf78",1
"53","C9orf92",1
"54","CA7",1
"55","CADPS2",1
"56","CAGE1",1
"57","CAMK2N1",1
"58","CARHSP1",1
"59","CASR",1
"60","CATSPER4",1
"61","CCNL2",1
"62","CDRT15P1",1
"63","CHD5,KCNAB2",1
"64","CHN1",1
"65","CHP2",1
"66","CHRDL2",1
"67","CLEC1A",1
"68","CMTM3,CMTM4",1
"69","CNBD1",1
"70","CNN3",1
"71","CNTD2",1
"72","CNTNAP2",1
"73","CNTROB",1
"74","COG8,PDF",1
"75","CORO1C",1
"76","CRIPAK",1
"77","CRYAA",1
"78","CRYBB2",1
"79","CSH2",1
"80","CSPG5",1
"81","CTAGE10P",1
"82","CTAGE6",1
"83","CTR9",1
"84","CTXN1",1
"85","CXorf49,CXorf49B",1
"86","CXXC1P1",1
"87","CYP27C1",1
"88","CYP2W1",1
"89","CYP3A5",1
"90","CYP4F29P",1
"91","D2HGDH",1
"92","DCAF4",1
"93","DCAKD",1
"94","DCD",1
"95","DCLRE1A",1
"96","DCSTAMP",1
"97","DEFB135",1
"98","DENND2A",1
"99","DHH",1
"100","DHX36",1
"101","DKFZP434I0714",1
"102","DMRT1",1
"103","DNAJC8",1
"104","DOCK1",1
"105","DPH3",1
"106","DPY19L2",1
"107","DUSP1",1
"108","DUX4",1
"109","E2F8",2
"110","EDNRA",1
"111","EEF1G,MIR3654",1
"112","EFCC1",1
"113","EFEMP1",1
"114","ELP3",1
"115","EMC1",1
"116","EVI5L",1
"117","EXTL3-AS1",1
"118","FAAHP1,LINC01398",1
"119","FADS6",1
"120","FAF2",1
"121","FAM133DP",1
"122","FAM138D",1
"123","FAM226A,FAM226B",1
"124","FAM46C",1
"125","FAM49B",1
"126","FANK1",2
"127","FBXL4",1
"128","FBXO40,HCLS1",1
"129","FCGR3A",1
"130","FHL2",1
"131","FKBP1AP1",1
"132","FLJ21408",1
"133","FLNB",1
"134","FNDC1",1
"135","FPR2",1
"136","FRG1",1
"137","FSTL1",1
"138","FUOM",1
"139","G3BP2",1
"140","GAGE12C,GAGE12D,GAGE12E,GAGE12F,GAGE12G,GAGE12I,GAGE4,GAGE5,GAGE6,GAGE7",1
"141","GALNT16",1
"142","GIT2",1
"143","GNLY",1
"144","GOLGA2P6",1
"145","GOLGA6B",1
"146","GOLPH3L",1
"147","GPALPP1",1
"148","GPAT4",1
"149","GPATCH2",1
"150","GREM2",1
"151","GRIK3",1
"152","GSC",1
"153","GTF2H3",1
"154","GTF2IP20",1
"155","GYS2",1
"156","HCG17",1
"157","HIPK1-AS1",1
"158","HPR",1
"159","HS3ST3B1",1
"160","HSP90AA1",1
"161","HSPA4",1
"162","IDH1",1
"163","IFNLR1",1
"164","IL13",1
"165","IL15RA",1
"166","IL17RD",1
"167","IL1RN",1
"168","IRAK1",1
"169","IRF9",1
"170","ISOC2",1
"171","ITGA11",1
"172","KBTBD6",1
"173","KCNC4",1
"174","KCNG4",1
"175","KCNJ15",1
"176","KIAA0226L",1
"177","KIAA1549",1
"178","KIF13A",1
"179","KIF18A",1
"180","KIF21A",1
"181","KIRREL2",1
"182","KLHL22",1
"183","KLHL3",1
"184","KMT5C",1
"185","KNTC1",1
"186","KRTAP13-2",1
"187","LAMC2",1
"188","LCE3D",1
"189","LDB2",1
"190","LDLRAD3",1
"191","LEMD3",1
"192","LHX8",1
"193","LINC00479",1
"194","LINC00603",1
"195","LINC00632",1
"196","LINC00708",1
"197","LINC00841",1
"198","LINC00919",1
"199","LINC00940",2
"200","LINC01105",1
"201","LINC01107",1
"202","LINC01115",1
"203","LINC01229",1
"204","LINC01289",1
"205","LINC01343",1
"206","LINC01354",1
"207","LINC01420",1
"208","LINC01468",1
"209","LINC01506",1
"210","LINC01521",1
"211","LINC01571",2
"212","LOC100130849",1
"213","LOC100133091",1
"214","LOC100288748",1
"215","LOC100507391",1
"216","LOC100507412",8
"217","LOC101060389,TBC1D3B,TBC1D3G,TBC1D3H,TBC1D3I,TBC1D3L",1
"218","LOC101927419",1
"219","LOC101927683",1
"220","LOC101928994",1
"221","LOC101929125",1
"222","LOC101929551",1
"223","LOC101929717",1
"224","LOC102723617",1
"225","LOC105372441",1
"226","LOC105375734",1
"227","LOC146880",1
"228","LOC285043",1
"229","LOC285629",1
"230","LOC439933",1
"231","LOC728743",1
"232","LRFN2",1
"233","LRFN3",1
"234","LY6G5B",1
"235","LYG2",1
"236","LYPD2",1
"237","MAGEB5",1
"238","MAK",1
"239","MAP1A",1
"240","MAP9",1
"241","MATN1-AS1",1
"242","MCAT",1
"243","MCF2L",1
"244","MED15",1
"245","MEI1",1
"246","MIR1253",1
"247","MIR378I",1
"248","MIR422A",1
"249","MIR4475",1
"250","MIR4493",1
"251","MIR4643",1
"252","MIR4801",1
"253","MIR5589",1
"254","MIR5692B",1
"255","MIR602",1
"256","MIR662",1
"257","MIR6724-1,MIR6724-2,MIR6724-3,MIR6724-4",2
"258","MIR7641-2,RNA5S1,RNA5S10,RNA5S11,RNA5S12,RNA5S13,RNA5S14,RNA5S15,RNA5S16,RNA5S17,RNA5S2,RNA5S3,RNA5S4,RNA5S5,RNA5S6,RNA5S7,RNA5S8",1
"259","MLKL",1
"260","MON1A",1
"261","MRAP2",1
"262","MRPL17",1
"263","MRPL30",1
"264","MRPL41",1
"265","MRPS15",1
"266","MRPS35",1
"267","MST1P2",1
"268","MXI1",1
"269","MYHAS",1
"270","MYLK4",1
"271","MYO6",1
"272","NAGS",1
"273","NBEA",1
"274","NCOA7",1
"275","NDRG1",1
"276","NEGR1",1
"277","NGF",1
"278","NKX2-1",1
"279","NLRP2",1
"280","NPIPA5",1
"281","NPLOC4",1
"282","NSUN2",1
"283","NT5C3B",1
"284","NTRK3",1
"285","NUTM2A-AS1",1
"286","ODF2L",1
